date,year,month,day,hour,발전량,기온,습도,이슬점 온도,일사량,구름양
2016-12-13 14:00,2016,12,13,14,140.631,4.3,77,0.6,100,0
2016-12-13 15:00,2016,12,13,15,85.793,4.3,80,1.1,72.222,0
2016-12-13 16:00,2016,12,13,16,32.59,3.8,80,0.6,55.556,0
2016-12-13 17:00,2016,12,13,17,0.154,3.4,80,0.2,13.889,0
2016-12-13 18:00,2016,12,13,18,0,2.6,86,0.4,2.778,0
2016-12-13 19:00,2016,12,13,19,0,2.4,84,0,0,0
2016-12-13 20:00,2016,12,13,20,0,2.4,81,-0.5,0,0
2016-12-13 21:00,2016,12,13,21,0,2.2,78,-1.2,0,0
2016-12-13 22:00,2016,12,13,22,0,1.8,78,-1.6,0,0
2016-12-13 23:00,2016,12,13,23,0,2,76,-1.7,0,0
2016-12-14 0:00,2016,12,14,0,0,1.7,74,-2.4,0,0
2016-12-14 1:00,2016,12,14,1,0,1.2,74,-2.9,0,0
2016-12-14 2:00,2016,12,14,2,0,0.8,77,-2.7,0,0
2016-12-14 3:00,2016,12,14,3,0,0.6,74,-3.5,0,0
2016-12-14 4:00,2016,12,14,4,0,0.6,73,-3.6,0,0
2016-12-14 5:00,2016,12,14,5,0,0.4,74,-3.7,0,0
2016-12-14 6:00,2016,12,14,6,0,0.2,70,-4.6,0,0
2016-12-14 7:00,2016,12,14,7,7.275,0,70,-4.8,0,0
2016-12-14 8:00,2016,12,14,8,67.826,0.1,68,-5.1,11.111,0
2016-12-14 9:00,2016,12,14,9,152.337,0.7,59,-6.4,111.111,0
2016-12-14 10:00,2016,12,14,10,142.23,1.4,59,-5.7,250,0
2016-12-14 11:00,2016,12,14,11,140.182,2.2,51,-6.9,394.444,0
2016-12-14 12:00,2016,12,14,12,132.197,3.1,42,-8.5,475,0
2016-12-14 13:00,2016,12,14,13,155.897,4.1,37,-9.3,505.556,0
2016-12-15 23:00,2016,12,15,23,0,0.2,47,-9.8,0,0
2016-12-16 0:00,2016,12,16,0,0,0.1,52,-8.6,0,0
2016-12-16 1:00,2016,12,16,1,0,0,57,-7.5,0,0
2016-12-16 2:00,2016,12,16,2,0,0.9,55,-7.1,0,0
2016-12-16 3:00,2016,12,16,3,0,1.8,53,-6.7,0,0
2016-12-16 4:00,2016,12,16,4,0,-2.2,70,-6.9,0,0
2016-12-16 5:00,2016,12,16,5,0,0.7,63,-5.5,0,0
2016-12-16 6:00,2016,12,16,6,0,3.2,53,-5.4,0,0
2016-12-16 7:00,2016,12,16,7,7.943,-0.4,68,-5.5,0,0
2016-12-16 8:00,2016,12,16,8,84.05,-1.2,73,-5.4,8.333,0
2016-12-16 9:00,2016,12,16,9,461.43,5.2,48,-4.9,100,0
2016-12-16 10:00,2016,12,16,10,755.537,6.8,43,-4.9,263.889,0
2016-12-16 11:00,2016,12,16,11,949.454,7.4,43,-4.3,402.778,0
2016-12-16 12:00,2016,12,16,12,1026.342,8.3,42,-3.8,475,0
2016-12-16 13:00,2016,12,16,13,1011.394,8.7,40,-4.1,500,0
2016-12-16 14:00,2016,12,16,14,876.399,9.3,40,-3.6,433.333,0
2016-12-16 15:00,2016,12,16,15,627.59,9.5,40,-3.4,361.111,0
2016-12-16 16:00,2016,12,16,16,262.469,9.5,40,-3.4,213.889,0
2016-12-16 17:00,2016,12,16,17,2.888,7.8,45,-3.4,58.333,0
2016-12-16 18:00,2016,12,16,18,0,3.8,60,-3.2,0,0
2016-12-16 19:00,2016,12,16,19,0,2.3,66,-3.4,0,0
2016-12-16 20:00,2016,12,16,20,0,1.2,71,-3.4,0,0
2016-12-16 21:00,2016,12,16,21,0,0,76,-3.7,0,0
2016-12-16 22:00,2016,12,16,22,0,-0.6,78,-3.9,0,0
2016-12-16 23:00,2016,12,16,23,0,-1.4,81,-4.2,0,0
2016-12-17 0:00,2016,12,17,0,0,-1.8,84,-4.1,0,0
2016-12-17 1:00,2016,12,17,1,0,-2.3,87,-4.1,0,0
2016-12-17 2:00,2016,12,17,2,0,-3,88,-4.7,0,0
2016-12-17 3:00,2016,12,17,3,0,-2.8,88,-4.5,0,0
2016-12-17 4:00,2016,12,17,4,0,-3,89,-4.5,0,0
2016-12-17 5:00,2016,12,17,5,0,-3.1,91,-4.3,0,0
