date,year,month,day,hour,발전량,기온,습도,이슬점 온도,일사량,구름양
2016-12-13 14:00,2016,12,13,14,0.136634708,0.266806723,0.77,0.395683453,0.104651114,0
2016-12-13 15:00,2016,12,13,15,0.083355032,0.266806723,0.8,0.413669065,0.075581128,0
2016-12-13 16:00,2016,12,13,16,0.031663894,0.256302521,0.8,0.395683453,0.058139973,0
2016-12-13 17:00,2016,12,13,17,0.000149624,0.24789916,0.8,0.381294964,0.014534993,0
2016-12-13 18:00,2016,12,13,18,0,0.231092437,0.86,0.388489209,0.002907208,0
2016-12-13 19:00,2016,12,13,19,0,0.226890756,0.84,0.374100719,0,0
2016-12-13 20:00,2016,12,13,20,0,0.226890756,0.81,0.356115108,0,0
2016-12-13 21:00,2016,12,13,21,0,0.222689076,0.78,0.330935252,0,0
2016-12-13 22:00,2016,12,13,22,0,0.214285714,0.78,0.316546763,0,0
2016-12-13 23:00,2016,12,13,23,0,0.218487395,0.76,0.31294964,0,0
2016-12-14 0:00,2016,12,14,0,0,0.212184874,0.74,0.287769784,0,0
2016-12-14 1:00,2016,12,14,1,0,0.201680672,0.74,0.269784173,0,0
2016-12-14 2:00,2016,12,14,2,0,0.193277311,0.77,0.276978417,0,0
2016-12-14 3:00,2016,12,14,3,0,0.18907563,0.74,0.248201439,0,0
2016-12-14 4:00,2016,12,14,4,0,0.18907563,0.73,0.244604317,0,0
2016-12-14 5:00,2016,12,14,5,0,0.18487395,0.74,0.241007194,0,0
2016-12-14 6:00,2016,12,14,6,0,0.180672269,0.7,0.208633094,0,0
2016-12-14 7:00,2016,12,14,7,0.007068267,0.176470588,0.7,0.201438849,0,0
2016-12-14 8:00,2016,12,14,8,0.065898598,0.178571429,0.68,0.190647482,0.011627785,0
2016-12-14 9:00,2016,12,14,9,0.14800806,0.191176471,0.59,0.143884892,0.116278899,0
2016-12-14 10:00,2016,12,14,10,0.138188269,0.205882353,0.59,0.169064748,0.261627785,0
2016-12-14 11:00,2016,12,14,11,0.136198467,0.222689076,0.51,0.125899281,0.412790041,0
2016-12-14 12:00,2016,12,14,12,0.128440376,0.241596639,0.42,0.068345324,0.497092792,0
2016-12-14 13:00,2016,12,14,13,0.151466896,0.262605042,0.37,0.039568345,0.529069986,0
2016-12-15 23:00,2016,12,15,23,0,0.180672269,0.47,0.021582734,0,0
2016-12-16 0:00,2016,12,16,0,0,0.178571429,0.52,0.064748201,0,0
2016-12-16 1:00,2016,12,16,1,0,0.176470588,0.57,0.104316547,0,0
2016-12-16 2:00,2016,12,16,2,0,0.195378151,0.55,0.118705036,0,0
2016-12-16 3:00,2016,12,16,3,0,0.214285714,0.53,0.133093525,0,0
2016-12-16 4:00,2016,12,16,4,0,0.130252101,0.7,0.125899281,0,0
2016-12-16 5:00,2016,12,16,5,0,0.191176471,0.63,0.176258993,0,0
2016-12-16 6:00,2016,12,16,6,0,0.243697479,0.53,0.179856115,0,0
